DATETIME,WZ_Coast (BIDCLOSE_LOAD_FORECAST),WZ_ERCOT (BIDCLOSE_LOAD_FORECAST),WZ_East (BIDCLOSE_LOAD_FORECAST),WZ_FarWest (BIDCLOSE_LOAD_FORECAST),WZ_North (BIDCLOSE_LOAD_FORECAST),WZ_NorthCentral (BIDCLOSE_LOAD_FORECAST),WZ_SouthCentral (BIDCLOSE_LOAD_FORECAST),WZ_Southern (BIDCLOSE_LOAD_FORECAST),WZ_West (BIDCLOSE_LOAD_FORECAST),ERCOT (WIND_STWPF_BIDCLOSE),GR_COASTAL (WIND_STWPF_BIDCLOSE),GR_ERCOT (WIND_STWPF_BIDCLOSE),GR_NORTH (WIND_STWPF_BIDCLOSE),GR_PANHANDLE (WIND_STWPF_BIDCLOSE),GR_SOUTH (WIND_STWPF_BIDCLOSE),GR_WEST (WIND_STWPF_BIDCLOSE),NORTH (ERCOT) (WIND_STWPF_BIDCLOSE),SOUTH_HOUSTON (WIND_STWPF_BIDCLOSE),WEST (ERCOT) (WIND_STWPF_BIDCLOSE),WEST_NORTH (WIND_STWPF_BIDCLOSE),ERCOT (SOLAR_STPPF_BIDCLOSE),ERCOT (TOTAL_RESOURCE_CAP_OUT),Katy (GASPRICE),Henry (GASPRICE),HB_NORTH (DALMP),HB_NORTH (RTLMP),WZ_Coast (RTLOAD),WZ_ERCOT (RTLOAD),WZ_East (RTLOAD),WZ_FarWest (RTLOAD),WZ_North (RTLOAD),WZ_NorthCentral (RTLOAD),WZ_SouthCentral (RTLOAD),WZ_Southern (RTLOAD),WZ_West (RTLOAD),GR_COASTAL (WINDDATA),GR_ERCOT (WINDDATA),GR_NORTH (WINDDATA),GR_PANHANDLE (WINDDATA),GR_SOUTH (WINDDATA),GR_WEST (WINDDATA),ERCOT (GENERATION_SOLAR_RT),HOURENDING,MARKETDAY,MONTH,YEAR,forecast,DATETIME_LOCAL
2022-01-01 07:00:00+00:00,10307.0996,37308.3496,1282.52,3657.73,819.63,10433.5,6365.8901,2852.1899,1589.79,16698.4,4360.7,16698.4,772.5,3717.1,2786.1,5062.0,757.6,7098.9,8841.9,9599.5,0.0,8247.0,3.438,3.722,33.41,64.36,11593.13,38145.79,1347.52,3875.34,860.19,9544.22,6268.38,3335.92,1321.09,3689.400833,12066.0325,674.15,3138.101667,1697.014167,2867.3625,0.109167,1,2022-01-01,JANUARY,2022,False,2022-01-01 01:00:00-06:00
2022-01-01 08:00:00+00:00,10300.2002,36984.0036,1260.64,3660.24,759.254,10346.5996,6287.0098,2842.3,1527.76,17210.4,4370.5,17210.4,687.6,3625.7,2729.6,5797.0,686.7,7075.5,9448.2,10134.9,0.0,8247.0,3.438,3.722,25.22,32.4475,11348.84,37158.13,1292.46,3804.58,851.1,9177.3,6054.79,3288.95,1340.11,3680.723333,12879.973333,587.441667,3103.5275,1719.589167,3788.693333,0.099167,2,2022-01-01,JANUARY,2022,False,2022-01-01 02:00:00-06:00
2022-01-01 09:00:00+00:00,10313.0,36764.8666,1245.84,3668.4399,725.907,10346.5996,6146.4502,2785.6599,1532.97,18276.7,4357.7,18276.7,683.3,3564.8,2739.6,6931.3,699.4,7084.6,10492.7,11192.1,0.0,8247.0,3.438,3.722,22.91,25.54,11007.41,35966.24,1293.34,3840.64,854.4,8756.47,5771.56,3166.55,1275.86,3654.858333,14368.191667,572.9775,3384.065,1697.770833,5058.519167,0.098333,3,2022-01-01,JANUARY,2022,False,2022-01-01 03:00:00-06:00
2022-01-01 10:00:00+00:00,10253.7998,36163.0723,1214.41,3673.6001,720.712,10158.9004,5922.25,2701.73,1517.67,19606.8,4313.2,19606.8,743.0,3541.3,2786.1,8223.2,758.9,7052.9,11795.0,12553.9,0.0,8247.0,3.438,3.722,18.41,22.4175,10850.64,35148.96,1240.84,3896.01,834.95,8538.38,5529.97,3056.95,1201.22,3590.854167,16466.9275,555.2925,3296.41,1782.585833,7241.7875,0.105,4,2022-01-01,JANUARY,2022,False,2022-01-01 04:00:00-06:00
2022-01-01 11:00:00+00:00,10206.0996,35615.0476,1185.4,3668.7,704.308,10016.0,5733.79,2646.4399,1454.3101,20969.9,4244.8,20969.9,821.5,3511.9,2751.4,9640.3,837.5,6900.7,13231.7,14069.2,0.0,8247.0,3.438,3.722,12.19,15.9475,10645.95,34610.33,1216.43,3953.56,826.74,8480.78,5419.03,2982.87,1084.98,3553.9475,18336.449167,530.015833,2952.698333,2152.473333,9147.314167,0.1125,5,2022-01-01,JANUARY,2022,False,2022-01-01 05:00:00-06:00
2022-01-01 12:00:00+00:00,10046.5,34730.8529,1165.2,3663.49,714.253,9746.96,5448.8999,2575.45,1370.1,22173.2,4162.2,22173.2,957.8,3547.4,2655.0,10850.8,971.7,6686.0,14515.5,15487.2,0.0,8247.0,3.438,3.722,14.92,13.5225,10628.28,34450.73,1204.2,3902.26,835.16,8465.16,5368.36,2941.09,1106.23,3475.305,18162.466667,593.570833,2983.378333,2089.011667,9021.2,0.11,6,2022-01-01,JANUARY,2022,False,2022-01-01 06:00:00-06:00
2022-01-01 13:00:00+00:00,9845.6699,33573.3895,1106.77,3673.51,704.95,9267.2598,5083.1699,2447.6699,1444.39,23311.7,4063.7,23311.7,1142.7,3525.4,2554.9,12025.0,1141.7,6476.2,15693.8,16835.5,0.0,8247.0,3.438,3.722,16.0,11.4825,10664.23,34568.62,1210.55,3855.32,859.92,8487.3,5394.54,2933.8,1162.95,3412.318333,18538.220833,792.55,3443.403333,1922.0575,8967.893333,0.1075,7,2022-01-01,JANUARY,2022,False,2022-01-01 07:00:00-06:00
2022-01-01 14:00:00+00:00,9783.9297,33574.605,1129.8,3675.27,741.625,9298.2803,5021.1299,2390.0801,1534.49,24349.1,3953.5,24349.1,1318.4,3509.8,2456.9,13110.5,1309.1,6254.5,16785.5,18094.6,25.8,8247.0,3.438,3.722,17.0,11.195,10689.79,34632.49,1221.31,3895.69,871.74,8520.59,5417.05,2866.29,1150.04,3383.154167,18304.940833,891.941667,3365.950833,1757.341667,8906.550833,7.563333,8,2022-01-01,JANUARY,2022,False,2022-01-01 08:00:00-06:00
2022-01-01 15:00:00+00:00,10012.2002,35329.4381,1248.6899,3671.6599,831.828,9950.4902,5432.8999,2544.6001,1637.0699,24477.5,3824.6,24477.5,1398.4,3516.0,2216.2,13522.3,1395.6,5874.5,17207.4,18603.0,956.1,8247.0,3.438,3.722,17.39,10.2725,11009.54,35562.5,1285.25,3911.48,889.51,8850.66,5565.6,2855.91,1194.55,3073.911667,17296.045,824.395833,3017.536667,1240.106667,9140.095833,1352.44,9,2022-01-01,JANUARY,2022,False,2022-01-01 09:00:00-06:00
2022-01-01 16:00:00+00:00,10367.0,37017.3194,1361.91,3661.5,964.399,10562.7002,5803.1602,2743.48,1553.17,23797.8,3643.0,23797.8,1480.1,3312.4,1828.5,13533.8,1488.6,5288.4,17020.8,18509.4,4782.6,8247.0,3.438,3.722,18.63,1.3575,11513.71,37846.9,1388.6,3864.3,946.23,9870.08,5936.2,3016.8,1310.97,2771.005,16879.286667,752.4875,2866.411667,975.355833,9514.026667,3467.0025,10,2022-01-01,JANUARY,2022,False,2022-01-01 10:00:00-06:00
