DATETIME,WZ_Coast (BIDCLOSE_LOAD_FORECAST),WZ_ERCOT (BIDCLOSE_LOAD_FORECAST),WZ_East (BIDCLOSE_LOAD_FORECAST),WZ_FarWest (BIDCLOSE_LOAD_FORECAST),WZ_North (BIDCLOSE_LOAD_FORECAST),WZ_NorthCentral (BIDCLOSE_LOAD_FORECAST),WZ_SouthCentral (BIDCLOSE_LOAD_FORECAST),WZ_Southern (BIDCLOSE_LOAD_FORECAST),WZ_West (BIDCLOSE_LOAD_FORECAST),ERCOT (WIND_STWPF_BIDCLOSE),GR_COASTAL (WIND_STWPF_BIDCLOSE),GR_ERCOT (WIND_STWPF_BIDCLOSE),GR_NORTH (WIND_STWPF_BIDCLOSE),GR_PANHANDLE (WIND_STWPF_BIDCLOSE),GR_SOUTH (WIND_STWPF_BIDCLOSE),GR_WEST (WIND_STWPF_BIDCLOSE),NORTH (ERCOT) (WIND_STWPF_BIDCLOSE),SOUTH_HOUSTON (WIND_STWPF_BIDCLOSE),WEST (ERCOT) (WIND_STWPF_BIDCLOSE),WEST_NORTH (WIND_STWPF_BIDCLOSE),ERCOT (SOLAR_STPPF_BIDCLOSE),ERCOT (TOTAL_RESOURCE_CAP_OUT),Katy (GASPRICE),Henry (GASPRICE),HB_NORTH (DALMP),HB_NORTH (RTLMP),WZ_Coast (RTLOAD),WZ_ERCOT (RTLOAD),WZ_East (RTLOAD),WZ_FarWest (RTLOAD),WZ_North (RTLOAD),WZ_NorthCentral (RTLOAD),WZ_SouthCentral (RTLOAD),WZ_Southern (RTLOAD),WZ_West (RTLOAD),GR_COASTAL (WINDDATA),GR_ERCOT (WINDDATA),GR_NORTH (WINDDATA),GR_PANHANDLE (WINDDATA),GR_SOUTH (WINDDATA),GR_WEST (WINDDATA),ERCOT (GENERATION_SOLAR_RT),HOURENDING,MARKETDAY,MONTH,YEAR,forecast,DATETIME_LOCAL
2022-08-15 20:00:00+00:00,19618.5996,71971.8192,2947.03,5283.5698,2041.49,24000.5996,11133.7002,5106.96,1839.87,9694.2,2189.4,9694.2,447.3,754.8,1936.1,4366.6,536.9,4238.9,4918.4,5455.3,8969.7,4827,,8.73,119.77,,,,,,,,,,,,,,,,,,15,2022-08-15,AUGUST,2022,True,2022-08-15 15:00:00-05:00
2022-08-15 21:00:00+00:00,19785.5,73116.1686,2965.6299,5286.2998,2087.1399,24591.5996,11411.0996,5131.3198,1857.58,10441.3,2376.3,10441.3,448.3,836.7,1992.6,4787.4,532.0,4504.7,5404.6,5936.6,8730.9,4827,,8.73,145.94,,,,,,,,,,,,,,,,,,16,2022-08-15,AUGUST,2022,True,2022-08-15 16:00:00-05:00
2022-08-15 22:00:00+00:00,19669.5996,73737.2207,2963.6201,5309.5801,2113.3601,24994.8008,11685.7998,5136.4502,1864.01,11220.8,2588.9,11220.8,449.6,924.7,2068.2,5189.4,530.6,4812.3,5877.9,6408.5,8145.1,4827,,8.73,159.4,,,,,,,,,,,,,,,,,,17,2022-08-15,AUGUST,2022,True,2022-08-15 17:00:00-05:00
2022-08-15 23:00:00+00:00,19215.8008,73145.1011,2949.3899,5299.3301,2101.72,25037.4004,11714.2998,5009.3701,1817.79,11860.3,2792.4,11860.3,452.1,1069.7,2103.0,5443.1,534.8,5063.2,6262.3,6797.1,7646.9,4827,,8.73,138.57,,,,,,,,,,,,,,,,,,18,2022-08-15,AUGUST,2022,True,2022-08-15 18:00:00-05:00
2022-08-16 00:00:00+00:00,18410.6992,71582.1398,2934.6599,5282.5498,2066.45,24661.4004,11585.9004,4838.1401,1802.34,12143.0,2688.3,12143.0,460.5,1261.4,2066.9,5665.9,544.9,4922.9,6675.2,7220.1,5600.0,4773,,8.73,126.02,,,,,,,,,,,,,,,,,,19,2022-08-15,AUGUST,2022,True,2022-08-15 19:00:00-05:00
2022-08-16 01:00:00+00:00,17571.8008,69014.3105,2830.1599,5235.23,1987.74,23680.1992,11188.9004,4776.3501,1743.9301,11930.5,2013.2,11930.5,490.7,1488.7,1931.8,6006.1,572.0,4109.2,7249.3,7821.3,1777.9,4773,,8.73,129.95,,,,,,,,,,,,,,,,,,20,2022-08-15,AUGUST,2022,True,2022-08-15 20:00:00-05:00
2022-08-16 02:00:00+00:00,17075.5996,66621.4598,2714.5,5143.4902,1909.54,22595.9004,10730.2998,4750.0098,1702.12,12326.6,1550.3,12326.6,593.7,1812.0,1913.6,6457.0,669.3,3610.0,8047.3,8716.6,122.4,4773,,8.73,109.65,,,,,,,,,,,,,,,,,,21,2022-08-15,AUGUST,2022,True,2022-08-15 21:00:00-05:00
2022-08-16 03:00:00+00:00,16354.0,64041.6095,2570.73,5145.1001,1823.13,21565.6992,10283.7002,4603.52,1695.73,13203.6,1323.3,13203.6,733.5,2171.6,1954.8,7020.4,817.8,3450.9,8934.9,9752.7,0.0,4773,,8.73,89.4,,,,,,,,,,,,,,,,,,22,2022-08-15,AUGUST,2022,True,2022-08-15 22:00:00-05:00
2022-08-16 04:00:00+00:00,15388.2998,59944.4402,2376.0901,5074.2202,1693.6,19868.4004,9569.3096,4340.5601,1633.96,13844.6,1203.5,13844.6,819.6,2483.5,1942.2,7395.8,918.5,3354.1,9572.0,10490.5,0.0,5067,,8.73,75.0,,,,,,,,,,,,,,,,,,23,2022-08-15,AUGUST,2022,True,2022-08-15 23:00:00-05:00
2022-08-16 05:00:00+00:00,14412.9004,55852.2799,2197.8799,5004.0801,1565.8199,18277.5996,8793.5,4051.21,1549.29,13937.5,1143.4,13937.5,863.0,2652.8,1868.8,7409.5,967.1,3227.5,9742.9,10710.0,0.0,5000,,,66.34,,,,,,,,,,,,,,,,,,0,2022-08-16,AUGUST,2022,True,2022-08-16 00:00:00-05:00
