DATETIME,WZ_Coast (BIDCLOSE_LOAD_FORECAST),WZ_ERCOT (BIDCLOSE_LOAD_FORECAST),WZ_East (BIDCLOSE_LOAD_FORECAST),WZ_FarWest (BIDCLOSE_LOAD_FORECAST),WZ_North (BIDCLOSE_LOAD_FORECAST),WZ_NorthCentral (BIDCLOSE_LOAD_FORECAST),WZ_SouthCentral (BIDCLOSE_LOAD_FORECAST),WZ_Southern (BIDCLOSE_LOAD_FORECAST),WZ_West (BIDCLOSE_LOAD_FORECAST),ERCOT (TOTAL_RESOURCE_CAP_OUT),ERCOT (SOLAR_STPPF_BIDCLOSE),ERCOT (WIND_STWPF_BIDCLOSE),GR_COASTAL (WIND_STWPF_BIDCLOSE),GR_ERCOT (WIND_STWPF_BIDCLOSE),GR_NORTH (WIND_STWPF_BIDCLOSE),GR_PANHANDLE (WIND_STWPF_BIDCLOSE),GR_SOUTH (WIND_STWPF_BIDCLOSE),GR_WEST (WIND_STWPF_BIDCLOSE),HB_NORTH (DALMP),HB_NORTH (RTLMP)
2022-01-02 06:00:00+00:00,10113.9004,37541.4701,1359.5601,3642.8799,1077.0699,12146.0996,5249.2202,2709.04,1243.7,8207.0,0.0,23892.3,1341.8,23892.3,2039.8,3305.5,2347.2,14858.0,23.79,17.3775
2022-01-02 07:00:00+00:00,10234.0283,40474.6773,1330.0509,3899.4763,1146.5392,14139.541,5399.4766,3002.6992,1322.8658,9272.0,0.0,21607.9,1205.8,21607.9,1950.6,2653.6,2448.5,13349.4,26.63,6.8825
2022-01-02 08:00:00+00:00,9835.0029,39272.0467,1333.069,3830.4451,1132.9419,13786.4736,5152.9219,2845.2454,1355.9469,9272.0,0.0,21461.2,1336.7,21461.2,1949.6,2491.2,2626.3,13057.4,24.79,8.1275
2022-01-02 09:00:00+00:00,9445.7637,38530.865,1414.0864,3717.0901,1124.5493,13615.5322,5069.498,2713.1355,1431.2098,9272.0,0.0,21788.4,1692.8,21788.4,1936.2,2270.7,2957.2,12931.5,23.85,7.545
2022-01-02 10:00:00+00:00,9355.4541,38327.185,1461.7085,3572.9658,1118.5973,13550.9229,5132.9468,2629.1233,1505.4663,9272.0,0.0,22471.1,2443.2,22471.1,1949.3,2072.1,3281.5,12725.0,22.81,11.5125
2022-01-02 11:00:00+00:00,9422.9941,38782.4576,1532.2163,3441.3064,1126.329,13840.4053,5312.4526,2532.2646,1574.4893,9281.0,0.0,23039.9,3364.2,23039.9,1961.6,1912.5,3480.4,12321.2,23.59,13.93
2022-01-02 12:00:00+00:00,9541.6992,39331.8451,1610.9675,3324.7126,1150.3933,14006.2822,5578.4404,2468.2515,1651.0984,9281.0,0.0,22615.6,3900.8,22615.6,1955.5,1767.1,3592.2,11400.0,25.76,21.9825
2022-01-02 13:00:00+00:00,9780.4004,40242.4833,1689.0104,3227.7839,1197.0546,14336.4521,5884.6597,2385.0154,1742.1068,9891.0,0.0,21223.4,4124.3,21223.4,1911.2,1723.9,3614.1,9849.9,30.29,22.565
2022-01-02 14:00:00+00:00,10320.9307,42175.7395,1815.4572,3175.3914,1264.9161,14980.7725,6378.7646,2385.5596,1853.9474,9891.0,60.6,19524.6,4200.4,19524.6,1860.3,1745.3,3573.0,8145.6,38.11,22.9775
2022-01-02 15:00:00+00:00,11120.9941,45022.8558,1978.6567,3116.9988,1326.5564,15922.5918,7066.2427,2547.3008,1943.5145,10114.0,1375.8,17784.2,4289.3,17784.2,1793.4,1720.3,3503.9,6477.3,46.77,23.4575
2022-01-02 16:00:00+00:00,11845.7627,47721.7809,2092.6455,3194.7793,1400.8606,16806.3047,7674.5723,2756.7944,1950.0614,10536.0,5871.2,15873.6,4319.1,15873.6,1687.9,1297.6,3420.6,5148.4,37.65,23.1725
2022-01-02 17:00:00+00:00,12178.5547,49182.1909,2133.4631,3379.3181,1398.0856,17380.8438,7888.9893,2934.1809,1888.7554,11040.0,7147.1,14061.9,4337.9,14061.9,1551.5,792.5,3276.4,4103.6,35.47,24.9725
2022-01-02 18:00:00+00:00,12264.3164,49531.4736,2149.8865,3546.9854,1409.8987,17367.9629,7944.769,3050.4172,1797.2375,11279.0,6946.5,12488.3,4333.5,12488.3,1371.5,589.9,3094.9,3098.5,35.0,26.8275
2022-01-02 19:00:00+00:00,12328.8232,49440.5915,2175.4812,3680.5442,1342.6151,17208.8945,7766.1436,3143.8679,1794.2218,11309.0,6772.1,11261.7,4304.4,11261.7,1164.9,496.0,2938.8,2357.6,31.33,22.9225
2022-01-02 20:00:00+00:00,12338.7637,48553.094,2151.7563,3708.8418,1283.84,16717.8203,7472.7783,3144.1304,1735.1632,11324.0,6861.3,10205.3,4285.9,10205.3,974.1,416.4,2794.7,1734.2,27.45,22.225
2022-01-02 21:00:00+00:00,12272.2549,47973.6921,2122.0525,3741.4153,1243.9431,16462.8945,7313.6567,3134.4573,1683.0178,11324.0,7275.0,9300.2,4242.1,9300.2,833.2,336.1,2640.6,1248.2,26.33,20.3625
2022-01-02 22:00:00+00:00,12190.2285,47421.0392,2097.3191,3751.3552,1186.8794,16212.4111,7195.1841,3135.563,1652.0988,11324.0,7165.9,8443.2,4136.6,8443.2,709.4,255.8,2448.1,893.3,25.84,19.645
2022-01-02 23:00:00+00:00,12157.2002,47299.5291,2067.9077,3795.8481,1169.7556,16292.6602,7127.8726,3094.3042,1593.9805,11324.0,4488.2,7527.9,3950.0,7527.9,578.0,213.0,2167.5,619.4,31.4,22.5225
2022-01-03 00:00:00+00:00,12521.5449,48502.6397,2094.9084,3889.0132,1212.0287,16891.373,7265.0503,3060.1868,1568.5344,11324.0,752.5,6514.2,3583.3,6514.2,462.5,231.3,1782.1,455.0,84.63,35.225
2022-01-03 01:00:00+00:00,13093.8291,51119.8283,2184.469,3963.4595,1284.5442,17874.918,7890.0991,3200.3896,1628.1198,11726.0,0.0,5715.9,3107.9,5715.9,406.8,357.0,1367.5,476.7,98.07,37.7425
2022-01-03 02:00:00+00:00,13142.9229,51605.8309,2205.9646,3906.4883,1307.8718,17927.6973,8174.6914,3254.6792,1685.5154,11726.0,0.0,5485.5,2851.1,5485.5,348.0,613.6,1022.3,650.5,72.65,38.025
2022-01-03 03:00:00+00:00,13179.3271,51831.2524,2211.583,3826.6008,1330.6498,17808.6484,8376.0313,3340.3406,1758.0714,11726.0,0.0,5547.3,2659.3,5547.3,271.5,888.4,756.7,971.4,62.24,37.8
2022-01-03 04:00:00+00:00,13102.0859,51548.0105,2149.6843,3754.0679,1311.2993,17550.5645,8501.1152,3409.0435,1770.1499,11726.0,0.0,5872.5,2482.4,5872.5,205.0,1161.7,574.8,1448.6,48.31,37.02
